fabric_name,event_name,climate_zone,season,fabric_category,breathability,warmth,formality,water_resistance,event_formality_level,duration_hours,activity_level,setting,weather_exposure,temp_min,temp_max,humidity,precipitation,hemisphere,seasonal_variation,temp_avg,temp_comfort_score,formality_match_score,activity_suitability_score,weather_protection_score,overall_recommendation_score,recommendation_category
Cotton,Wedding,Arctic_Cold,winter,Natural,8,4,6,2,9,5,4,both,5,-40,-20,Low,Low,Northern,Moderate,-30.0,4.0,5,8,7,53.0,Fair
Cotton,Wedding,Arctic_Cold,summer,Natural,8,4,6,2,9,5,4,both,5,5,15,Medium,Medium,Northern,Moderate,10.0,8.5,5,8,2,70.5,Good
Cotton,Wedding,Subarctic_Cold,winter,Natural,8,4,6,2,9,5,4,both,5,-30,-10,Low,Low,Northern,Extreme,-20.0,4.0,5,8,7,53.0,Fair
Cotton,Wedding,Subarctic_Cold,summer,Natural,8,4,6,2,9,5,4,both,5,12,25,Medium,Medium,Northern,Extreme,18.5,8.5,5,8,2,70.5,Good
Cotton,Wedding,Continental_Temperate,winter,Natural,8,4,6,2,9,5,4,both,5,-10,0,Medium,Medium,Northern,High,-5.0,4.0,5,8,2,48.0,Poor
Cotton,Wedding,Continental_Temperate,summer,Natural,8,4,6,2,9,5,4,both,5,20,30,Medium,Medium,Northern,High,25.0,8.5,5,8,2,70.5,Good
Cotton,Wedding,Oceanic_Temperate,winter,Natural,8,4,6,2,9,5,4,both,5,0,10,Medium,High,Both,Low,5.0,4.0,5,8,2,48.0,Poor
Cotton,Wedding,Oceanic_Temperate,summer,Natural,8,4,6,2,9,5,4,both,5,15,25,Medium,High,Both,Low,20.0,8.5,5,8,2,70.5,Good
Cotton,Wedding,Mediterranean,winter,Natural,8,4,6,2,9,5,4,both,5,5,15,Medium,Medium,Both,Moderate,10.0,8.5,5,8,2,70.5,Good
Cotton,Wedding,Mediterranean,summer,Natural,8,4,6,2,9,5,4,both,5,25,35,Low,Low,Both,Moderate,30.0,8.0,5,8,7,73.0,Good
Cotton,Wedding,Subtropical_Humid,winter,Natural,8,4,6,2,9,5,4,both,5,10,20,High,Medium,Both,Moderate,15.0,8.5,5,8,2,70.5,Good
Cotton,Wedding,Subtropical_Humid,summer,Natural,8,4,6,2,9,5,4,both,5,25,35,High,Medium,Both,Moderate,30.0,8.0,5,8,2,68.0,Good
Cotton,Wedding,Tropical,winter,Natural,8,4,6,2,9,5,4,both,5,25,28,High,High,Both,,26.5,8.0,5,8,2,68.0,Good
Cotton,Wedding,Tropical,summer,Natural,8,4,6,2,9,5,4,both,5,28,32,High,High,Both,,30.0,8.0,5,8,2,68.0,Good
Cotton,Wedding,Desert_Hot,winter,Natural,8,4,6,2,9,5,4,both,5,15,25,Low,,Both,High,20.0,8.5,5,8,7,75.5,Good
